pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
Thompson Creek Metals,THOMPSON CREEK METALS CO INC,122266,TCPTF,100.0,20-Oct-2016,2016,"1,030.00",,Multi-line Mining,Centerra Gold (TSE: CG) (Scott Perry),Materials and Resources,"Metals, Minerals and Mining"
US Unwired,US UNWIRED INC,135669,UNWR,100.0,12-Aug-2005,2005,"1,026.00",,Telecommunications Service Providers,Sprint (Gary Forsee),Information Technology,Communications and Networking
Commonwealth Brands,COMMONWEALTH BANCORP INC,29619,CMSB.1,82.05128205128204,02-Apr-2007,2007,"1,025.77",Corporate Divestiture,Other Consumer Non-Durables,Imperial Brands (LON: IMB) (Gareth Davis),Consumer Products and Services (B2C),Consumer Non-Durables
Elan Drug Technologies,DELL TECHNOLOGIES INC,14489,DELL,82.05128205128204,16-Sep-2011,2011,"1,025.07",,Drug Delivery,Alkermes (NAS: ALKS) (Richard Pops),Healthcare,Pharmaceuticals and Biotechnology
NRC International Holdings,NRC GROUP HOLDINGS CORP,33573,NRCG,100.0,01-Nov-2019,2019,"1,024.80",,Environmental Services (B2B),US Ecology (Jeffrey Feeler),Business Products and Services (B2B),Commercial Services
Electro Scientific,REFLECT SCIENTIFIC INC,143788,RSCF,88.88888888888889,01-Feb-2019,2019,"1,019.00",,Other Commercial Services,MKS (Electronic Equipment and Instruments) (NAS: MKSI) (Gerald Colella),Business Products and Services (B2B),Commercial Services
Answer Financial,ASB FINANCIAL CORP,31789,ASBN,82.75862068965517,07-Oct-2011,2011,"1,010.00",,Insurance Brokers,Allstate (NYS: ALL) (Thomas Wilson),Financial Services,Insurance
Altor BioScience,APTOSE BIOSCIENCES INC,25750,APTOF,82.35294117647058,01-Aug-2017,2017,"1,000.00",,Drug Discovery,ImmunityBio (NAS: IBRX) (Patrick Soon-Shiong),Healthcare,Pharmaceuticals and Biotechnology
Aragon Pharmaceuticals,DRAGON PHARMACEUTICALS INC,110484,3DRUG,95.45454545454545,21-Aug-2013,2013,"1,000.00",,Drug Discovery,Johnson & Johnson (NYS: JNJ) (Peter Lebowitz),Healthcare,Pharmaceuticals and Biotechnology
Art Technology Group,ART TECHNOLOGY GROUP INC,122159,ARTG,100.0,05-Jan-2011,2011,"1,000.00",,Business/Productivity Software,Oracle (NYS: ORCL) (Lawrence Ellison),Information Technology,Software
Chase Pharmaceuticals,CASI PHARMACEUTICALS INC,63030,CASIF,92.6829268292683,22-Nov-2016,2016,"1,000.00",,Drug Discovery,Allergan (C. David Nicholson),Healthcare,Pharmaceuticals and Biotechnology
Compassus,COMPASS INC,38488,COMP,87.5,31-Dec-2019,2019,"1,000.00",,Other Healthcare Services,"Ascension (United States), TowerBrook Capital Partners",Healthcare,Healthcare Services
CSK Auto,CSK AUTO CORP,66646,CAO,100.0,10-Jul-2008,2008,"1,000.00",,Specialty Retail,O'Reilly Automotive Stores (NAS: ORLY) (Gregory Henslee),Consumer Products and Services (B2C),Retail
DreamWorks Animation SKG,DREAMWORKS ANIMATION SKG INC,160912,DWA,100.0,01-Feb-2006,2006,"1,000.00",,"Movies, Music and Entertainment",Paramount Pictures (Brad Grey),Consumer Products and Services (B2C),Media
Investment Technology Group,INVESTMENT TECHNOLOGY GP INC,30146,ITG,93.33333333333333,01-Mar-2019,2019,"1,000.00",,Brokerage,Virtu Financial (NYS: VIRT) (Douglas Cifu),Financial Services,Capital Markets/Institutions
Komag,KOMAG INC,13369,KOMG,100.0,28-Jun-2007,2007,"1,000.00",,Other Hardware,Western Digital (NAS: WDC) (John Coyne),Information Technology,Computer Hardware
Merge Healthcare,MERGE HEALTHCARE INC,66630,MRGE.1,100.0,13-Oct-2015,2015,"1,000.00",,Decision/Risk Analysis,International Business Machines (NYS: IBM) (John Kelly),Healthcare,Healthcare Technology Systems
NextG Networks,NX NETWORKS INC,25748,NXWXQ,88.0,11-Apr-2012,2012,"1,000.00",,Wireless Communications Equipment,Crown Castle International (NYS: CCI),Information Technology,Communications and Networking
Nimble Storage,NIMBLE STORAGE INC,18975,NMBL.1,100.0,17-Apr-2017,2017,"1,000.00",,Storage (IT),Hewlett Packard Enterprise (NYS: HPE) (Margaret Whitman),Information Technology,Computer Hardware
Odyssey Healthcare,ODYSSEY HEALTHCARE INC,141847,ODSY,100.0,17-Aug-2010,2010,"1,000.00",,Elder and Disabled Care,Centerwell Health Services (Tony Strange),Healthcare,Healthcare Services
OPI Products,MMI PRODUCTS INC,117961,0142A,83.33333333333334,30-Nov-2010,2010,"1,000.00",,Personal Products,Coty (NYS: COTY) (Bernd Beetz),Consumer Products and Services (B2C),Consumer Non-Durables
OPNET Technologies,OPNET TECHNOLOGIES INC,138402,OPNT.1,100.0,12-Dec-2012,2012,"1,000.00",,Network Management Software,Riverbed Technology (Jerry Kennelly),Information Technology,Software
Opus Bank,OPUS BANK,20277,OPB,100.0,01-Jun-2020,2020,"1,000.00",Public to Private,Regional Banks,Pacific Premier Bank (Steven Gardner),Financial Services,Commercial Banks
Progress Rail Services,PROGRESS RAIL SERVICES -REDH,174076,1129B,88.0,23-Jun-2006,2006,"1,000.00",Corporate Divestiture,Rail,Caterpillar (NYS: CAT),Business Products and Services (B2B),Commercial Transportation
Speedway Motorsports,SPEEDWAY MOTORSPORTS INC,31560,TRK,100.0,17-Sep-2019,2019,"1,000.00",Public to Private,Media and Information Services (B2B),Sonic Financial,Business Products and Services (B2B),Commercial Services
Wyse Technology,WM TECHNOLOGY INC,39025,MAPS,85.71428571428572,25-May-2012,2012,"1,000.00",,IT Consulting and Outsourcing,Dell Technologies (NYS: DELL) (Michael Dell),Information Technology,IT Services
Rock Oil,GOLD ROCK HOLDINGS INC,114347,GRHI,82.35294117647058,05-Oct-2016,2016,998.70,,Energy Exploration,SM Energy (NYS: SM),Energy,"Exploration, Production and Refining"
Rock Oil Holdings,GOLD ROCK HOLDINGS INC,114347,GRHI,82.35294117647058,01-Sep-2016,2016,991.03,,Media and Information Services (B2B),SM Energy (NYS: SM) (Javan Ottoson),Energy,"Exploration, Production and Refining"
Foundation Medicine,FOUNDATION MEDICINE INC,18469,FMI,100.0,07-Apr-2015,2015,989.00,,Diagnostic Equipment,Roche (SWX: ROG) (Daniel O'Day),Healthcare,Healthcare Devices and Supplies
Commercial Capital Bancorp,COMMERCIAL CAPITAL BANCORP,150577,CCBI,100.0,01-Oct-2006,2006,983.00,,Holding Companies,Washington Mutual Bank ( banking subsidiaries ) (Kerry Killinger),Financial Services,Other Financial Services
UCI International,UCI INTERNATIONAL INC,185326,4021B,100.0,25-Jan-2011,2011,980.00,,Automotive,Rank Group (LON: RNK),Consumer Products and Services (B2C),Transportation
Waypoint Financial,WAYPOINT FINANCIAL CORP,29624,WYPT,100.0,21-Jan-2005,2005,979.99,,Regional Banks,Santander Bank,Financial Services,Commercial Banks
8point3 Energy Partners,8POINT3 ENERGY PARTNERS LP,23287,CAFD,93.87755102040816,19-Jun-2018,2018,977.00,Public to Private,Energy Production,Capital Dynamics (John Breckenridge),Energy,"Exploration, Production and Refining"
CoBiz Financial,COBIZ FINANCIAL INC,111779,COBZ,100.0,01-Oct-2018,2018,977.00,,National Banks,BOK Financial (NAS: BOKF) (Steven Bradshaw),Financial Services,Commercial Banks
Spartan Energy Acquisition,KLR ENERGY ACQUISITION CORP,26825,KLRE,83.33333333333334,29-Oct-2020,2020,977.00,,Special Purpose Acquisition Company (SPAC),Fisker (Henrik Fisker),Financial Services,Other Financial Services
Vascular Solutions,VASCULAR SOLUTIONS INC,125000,VASC,100.0,17-Feb-2017,2017,975.52,,Surgical Devices,Teleflex (NYS: TFX) (Benson Smith),Healthcare,Healthcare Devices and Supplies
Boulder Brands,BOULDER BRANDS INC,164408,BDBD,100.0,15-Jan-2016,2016,975.00,,Food Products,Pinnacle Foods (Craig Steeneck),Consumer Products and Services (B2C),Consumer Non-Durables
Five Point Holdings,FIVE POINT HOLDINGS LLC,31108,FPH,100.0,01-Jan-2007,2007,970.00,Corporate Divestiture,Buildings and Property,California Public Employees' Retirement System,Business Products and Services (B2B),Other Business Products and Services
NationsRent,NATIONSRENT INC,113274,3NRNTQ,100.0,01-Sep-2006,2006,967.00,,Other Commercial Services,Sunbelt Rentals (Cliff Miller),Business Products and Services (B2B),Commercial Services
Susser Holdings,SUSSER HOLDINGS CORP,165702,SUSS,100.0,31-Jul-2015,2015,966.90,Corporate Divestiture,General Merchandise Stores,Sunoco (NYS: SUN) (Scott Grischow),Consumer Products and Services (B2C),Retail
CTI Molecular Imaging,CTI MOLECULAR IMAGING INC,148069,CTMI,100.0,02-Aug-2005,2005,966.80,,Diagnostic Equipment,Siemens Healthineers (ETR: SHL) (Erich Reinhardt),Healthcare,Healthcare Devices and Supplies
Decision Resources Group,MISSION RESOURCES CORP,14114,MSSN,85.71428571428572,28-Feb-2020,2020,965.00,Corporate Divestiture,Other Healthcare Services,Clarivate (NYS: CLVT) (Jerre Stead),Healthcare,Healthcare Services
NES Rentals Holdings,NES RENTALS HOLDINGS INC,111489,NLEQ,100.0,03-Apr-2017,2017,965.00,,Other Commercial Products,United Rentals (NYS: URI) (Michael Kneeland),Business Products and Services (B2B),Commercial Products
Global Brass & Copper Holdings,GLOBAL BRASS & COPPER HLDGS,185344,BRSS,87.5,16-Jul-2019,2019,962.00,Public to Private,Industrial Supplies and Parts,Wieland Group (Erwin Mayr),Business Products and Services (B2B),Commercial Products
American Petroleum Tankers,AMERICAN EAGLE TANKERS INC,143989,AEH.,83.33333333333334,17-Jan-2014,2014,961.00,,Energy Transportation,Kinder Morgan (NYS: KMI),Energy,Energy Services
Innkeepers USA Trust,INNKEEPERS USA TRUST,30692,KPA,100.0,11-Jun-2014,2014,958.50,,Real Estate Investment Trusts (REITs),NorthStar Realty Finance,Financial Services,Other Financial Services
Map Pharmaceuticals,MAP PHARMACEUTICALS INC,178531,MAPP.2,100.0,23-Jan-2013,2013,958.00,,Pharmaceuticals,Allergan (Acquired 2015),Healthcare,Pharmaceuticals and Biotechnology
DTS,DTS INC,153813,DTSI,100.0,01-Dec-2016,2016,954.70,,Electronics (B2C),Xperi (Electronics) (NYS: XPER) (Thomas Lacey),Consumer Products and Services (B2C),Consumer Durables
RSI Home Products,HOME PRODUCTS INTL INC,14883,HOMZQ,86.66666666666667,29-Dec-2017,2017,953.00,,Home Furnishings,American Woodmark (NAS: AMWD) (Steven Dunston),Consumer Products and Services (B2C),Consumer Durables
DSS Group,DSS INC,18290,DSS,100.0,12-Dec-2014,2014,952.50,,Other Commercial Services,Primo Brands (NYS: PRMB) (Jeremy Fowden),Business Products and Services (B2B),Commercial Services
Citizens Republic Bancorp,CITIZENS REPUBLIC BANCORP,3071,CRBC,100.0,12-Apr-2013,2013,952.00,,National Banks,FirstMerit Bank (Paul Greig),Financial Services,Commercial Banks
Rodin Therapeutics,REIN THERAPEUTICS INC,31656,RNTX,89.65517241379311,25-Nov-2019,2019,950.00,,Drug Discovery,Alkermes (NAS: ALKS) (Craig Hopkinson),Healthcare,Pharmaceuticals and Biotechnology
Victor Technologies,VIANET TECHNOLOGIES INC,110329,VNTK,84.21052631578947,14-Apr-2014,2014,948.80,,Other Commercial Products,Enovis (NYS: ENOV) (Steve Simms),Business Products and Services (B2B),Commercial Products
LabOne,LABONE INC,24184,LABS.1,100.0,31-Oct-2005,2005,947.00,,Laboratory Services (Healthcare),Quest Diagnostics (NYS: DGX),Healthcare,Healthcare Services
Forge Energy,OGE ENERGY CORP,8113,OGE,90.9090909090909,11-Dec-2017,2017,946.00,,Energy Exploration,Chord Energy (NAS: CHRD),Energy,"Exploration, Production and Refining"
Dendreon,DENDREON CORP,136884,DNDNQ,100.0,29-Jun-2017,2017,941.29,Corporate Divestiture,Biotechnology,Sanpower Group (Yuan Yafei),Healthcare,Pharmaceuticals and Biotechnology
Advanstar Communications,ADVANSTAR COMMUNICATIONS INC,145976,0078A,100.0,19-Dec-2014,2014,938.63,,Media and Information Services (B2B),United Business Media (Timothy Cobbold),Business Products and Services (B2B),Commercial Services
Global Industries,GLOBAL INDUSTRIES LTD,27816,GLBL.1,100.0,01-Dec-2011,2011,937.00,,Catalog Retail,TechnipFMC (NYS: FTI),Consumer Products and Services (B2C),Retail
Semma Therapeutics,SERINA THERAPEUTICS INC,34469,SER,83.87096774193549,10-Oct-2019,2019,936.80,,Biotechnology,Vertex Pharmaceuticals (NAS: VRTX) (Jeffrey Leiden),Healthcare,Pharmaceuticals and Biotechnology
Rofin Sinar Technologies,ROFIN SINAR TECHNOLOGIES INC,63651,RSTI,100.0,07-Nov-2016,2016,936.30,,Electrical Equipment,Coherent (Acquired) (John Ambroseo),Business Products and Services (B2B),Commercial Products
Eloqua,ELOQUA INC,187970,ELOQ,100.0,08-Feb-2013,2013,935.00,,Automation/Workflow Software,Oracle (NYS: ORCL) (Thomas Kurian),Information Technology,Software
Eyetech Pharmaceuticals,EYETECH PHARMACEUTICALS INC,156292,EYET,100.0,14-Nov-2005,2005,935.00,,Pharmaceuticals,OSI Pharmaceuticals,Healthcare,Pharmaceuticals and Biotechnology
Molycop,MOLYCORP INC,7509,MCPIQ,93.33333333333333,01-Dec-2010,2010,930.00,Corporate Divestiture,Industrial Supplies and Parts,Arrium,Business Products and Services (B2B),Commercial Products
Armored AutoGroup,ARMORED AUTOGROUP INC,15148,8552B,100.0,21-May-2015,2015,929.30,Corporate Divestiture,Household Products,Spectrum Brands Holdings (NYS: SPB) (Andreas Rouvé),Consumer Products and Services (B2C),Consumer Non-Durables
Empire Resorts,EMPIRE RESORTS INC,29129,NYNY,100.0,15-Nov-2019,2019,925.00,Public to Private,Casinos and Gaming,"Genting Malaysia (KLS: 4715), Kien Huat",Consumer Products and Services (B2C),"Restaurants, Hotels and Leisure"
Standard Microsystems,STANDARD MICROSYSTEMS CORP,9999,SMSC,100.0,02-Aug-2012,2012,919.60,,General Purpose Semiconductors,Microchip Technology (NAS: MCHP),Information Technology,Semiconductors
Tanox,TANOX INC,133731,TNOX,100.0,02-Aug-2007,2007,919.00,,Other Devices and Supplies,Genentech (Arthur Levinson),Healthcare,Healthcare Devices and Supplies
State National Companies,STATE NATIONAL COS INC,21079,SNC,85.71428571428572,17-Nov-2017,2017,918.80,,Property and Casualty Insurance,Markel Group (NYS: MKL) (Richard Whitt),Financial Services,Insurance
Transamerica Reinsurance,TRANSAMERICA FINANCE CORP,10670,TA2,86.36363636363636,09-Aug-2011,2011,916.00,,Re-Insurance,SCOR (PAR: SCR) (Denis Kessler),Financial Services,Insurance
Dova Pharmaceuticals,DOVA PHARMACEUTICAL INC,31657,DOVA,97.43589743589743,12-Nov-2019,2019,915.00,,Drug Discovery,Swedish Orphan Biovitrum (STO: SOBI) (Guido Oelkers),Healthcare,Pharmaceuticals and Biotechnology
ServiceMax,SERVICE CORP INTERNATIONAL,9611,SCI,82.35294117647058,10-Jan-2017,2017,915.00,,Business/Productivity Software,GE Digital (William Ruh),Information Technology,Software
Elkcorp,ELKCORP,4251,ELK,100.0,26-Mar-2007,2007,912.04,Public to Private,Building Products,GAF Materials,Business Products and Services (B2B),Commercial Products
Cardinal Bank,CAROLINA BANK HOLDINGS INC,65713,CLBH,84.61538461538461,21-Apr-2017,2017,912.00,,National Banks,United Bankshares (NAS: UBSI) (Richard Adams),Financial Services,Commercial Banks
Niska Gas Storage Partners.,NISKA GAS STORAGE PARTNERS,174108,NKA,100.0,19-Jul-2016,2016,912.00,,Energy Storage,Brookfield Infrastructure Partners (TSE: BIP.UN),Energy,Energy Services
Allied Capital,ALLIED CAPITAL CORP,116004,ALD.1,100.0,02-Apr-2010,2010,907.74,,Private Equity,Ares Management (NYS: ARES),Financial Services,Capital Markets/Institutions
PayRock Energy,PYR ENERGY CORP,65827,PYR.1,83.33333333333334,01-Aug-2016,2016,904.00,,Energy Production,Marathon Oil (Lee Tillman),Energy,"Exploration, Production and Refining"
Keyw,KEYW HOLDING CORP,185119,KEYW,100.0,12-Jun-2019,2019,902.60,,Systems and Information Management,Jacobs Solutions (NYS: J) (Steven Demetriou),Information Technology,IT Services
1-800 Contacts,1-800 CONTACTS INC,66425,CTAC.1,100.0,04-Jun-2012,2012,900.00,,Specialty Retail,Elevance Health (NYS: ELV) (Angela Braly),Consumer Products and Services (B2C),Retail
Capella Healthcare,ALLOU HEALTHCARE INC,15848,ALUHQ,82.35294117647058,01-Sep-2015,2015,900.00,,Hospitals/Inpatient Services,Medical Properties Trust (NYS: MPT) (Edward Aldag),Healthcare,Healthcare Services
General Chemical,GENERAL CHEMICAL GROUP INC,121233,GNMP,100.0,23-Jan-2014,2014,900.00,,Specialty Chemicals,Chemtrade Logistics (TSE: CHE.UN) (Mark Davis),Materials and Resources,Chemicals and Gases
GeoEye,GEOEYE INC,114748,GEOY,100.0,31-Jan-2013,2013,900.00,,Aerospace and Defense,DigitalGlobe (Jeffrey Tarr),Business Products and Services (B2B),Commercial Products
MTGE Investment,MTGE INVESTMENT CORP,186874,MTGE,100.0,07-Sep-2018,2018,900.00,,Real Estate Investment Trusts (REITs),Annaly Capital Management (NYS: NLY) (Kevin Keyes),Financial Services,Other Financial Services
NXT Capital,NB CAPITAL CORP,110531,NBD.1,85.71428571428572,29-Aug-2018,2018,900.00,,Specialized Finance,ORIX USA (Hideto Nishitani),Financial Services,Other Financial Services
Avid Radiopharmaceuticals,ARIAD PHARMACEUTICALS INC,30674,ARIA,82.6086956521739,20-Dec-2010,2010,896.10,,Discovery Tools (Healthcare),Eli Lilly (NYS: LLY),Healthcare,Pharmaceuticals and Biotechnology
Stanley,STANLEY INC,174663,SXE.1,100.0,17-Aug-2010,2010,892.27,,IT Consulting and Outsourcing,CGI Group (TSE: GIB.A) (Michael Roach),Information Technology,IT Services
Nanometrics,NANOMETRICS INC,7682,NANO,100.0,25-Oct-2019,2019,890.10,,Electrical Equipment,Onto Innovation (NYS: ONTO) (Michael Plisinski),Business Products and Services (B2B),Commercial Products
Charming Shoppes,CHARMING SHOPPES INC,2938,CHRS.1,100.0,14-Jun-2012,2012,890.00,,Specialty Retail,Ascena Retail Group (David Jaffe),Consumer Products and Services (B2C),Retail
Dendreon,DENDREON CORP,136884,DNDNQ,100.0,03-Aug-2018,2018,885.90,Corporate Divestiture,Biotechnology,Nanjing Xinjiekou Department Store Company (SHG: 600682),Healthcare,Pharmaceuticals and Biotechnology
ZymoGenetics,ZYMOGENETICS INC,145228,ZGEN.2,100.0,12-Oct-2010,2010,885.00,,Drug Discovery,Bristol-Myers Squibb (NYS: BMY),Healthcare,Pharmaceuticals and Biotechnology
Loopnet,LOOPNET INC,166623,LOOP.1,100.0,30-Apr-2011,2011,883.45,,Media and Information Services (B2B),CoStar Group (NAS: CSGP) (Andrew Florance),Business Products and Services (B2B),Commercial Services
Sirenza Microdevices,SIRENZA MICRODEVICES INC,135966,SMDI.,100.0,01-Jan-2008,2008,880.70,Public to Private,General Purpose Semiconductors,Qorvo (NAS: QRVO) (Robert Bruggeworth),Information Technology,Semiconductors
Anchor Glass Container,ANCHOR GLASS CONTAINER CORP,12246,AGCCQ,100.0,20-Aug-2012,2012,880.00,,Other Containers and Packaging,Ardagh Group (Paul Coulson),Materials and Resources,Containers and Packaging
Gavis Pharmaceuticals,AGIOS PHARMACEUTICALS,18159,AGIO,90.47619047619048,23-Jul-2015,2015,880.00,,Pharmaceuticals,Lupin (BOM: 500257),Healthcare,Pharmaceuticals and Biotechnology
GP Investments Acquisition Corporation,GP INVESTMENTS ACQUISITION,23713,GPIA,86.66666666666667,11-Oct-2017,2017,873.00,,Special Purpose Acquisition Company (SPAC),Rimini Street (NAS: RMNI) (Seth Ravin),Financial Services,Other Financial Services
Griffin Industries,GIANT INDUSTRIES INC,19427,GI.2,82.35294117647058,17-Dec-2010,2010,872.03,,Environmental Services (B2B),Darling Ingredients (NYS: DAR) (Randall Stuewe),Business Products and Services (B2B),Commercial Services
Annaly Commercial Real Estate Group,ARES COMMERCIAL REAL ESTATE,189516,ACRE,85.71428571428572,23-May-2013,2013,872.00,,Specialized Finance,Annaly Capital Management (NYS: NLY) (Wellington Denahan),Financial Services,Other Financial Services
EAB Global,BEAM GLOBAL,184345,BEEM,85.71428571428572,09-Jan-2015,2015,871.00,,Education and Training Services (B2B),The Advisory Board Company (Robert Musslewhite),Business Products and Services (B2B),Commercial Services
Elizabeth Arden,ELIZABETH ARDEN INC,61763,RDEN,100.0,07-Sep-2016,2016,870.00,,Personal Products,Revlon (Fabian Garcia),Consumer Products and Services (B2C),Consumer Non-Durables
