pb_company,comp_company,gvkey,tic,match_score,deal_date,deal_year,deal_size,deal_type2,pb_industry_code,pb_investors,pb_industry_sector,pb_industry_group
ICO,ICO INC,5826,ICOC,100.0,28-Apr-2010,2010,191.40,,Specialty Chemicals,Lyondellbasell Advanced Polymers (Joseph Gingo),Materials and Resources,Chemicals and Gases
Kosan Biosciences,KOSAN BIOSCIENCES INC,140445,KOSN,100.0,01-Jun-2008,2008,191.00,,Biotechnology,Bristol-Myers Squibb (NYS: BMY),Healthcare,Pharmaceuticals and Biotechnology
South Financial Group,SOUTH FINANCIAL GROUP INC,17640,TSFG,100.0,30-Sep-2010,2010,191.00,,Regional Banks,TD Bank Group (TSE: TD) (Rick Burke),Financial Services,Commercial Banks
Castle Brands,CASTLE BRANDS INC,165691,ROX,100.0,09-Oct-2019,2019,190.93,,Beverages,Pernod Ricard (PAR: RI) (Alexandre Ricard),Consumer Products and Services (B2C),Consumer Non-Durables
Magnetek,MAGNETEK INC,12581,MAG.3,100.0,02-Sep-2015,2015,190.67,,Electrical Equipment,Columbus McKinnon (NAS: CMCO) (Timothy Tevens),Business Products and Services (B2B),Commercial Products
Inkine Pharmaceuticals,INKINE PHARMACEUTICAL CO INC,31761,INKP,97.67441860465115,23-Jun-2005,2005,190.00,,Pharmaceuticals,Salix Pharmaceuticals (Carolyn Logan),Healthcare,Pharmaceuticals and Biotechnology
Jni,JNI CORP,125525,JNIC,100.0,18-Aug-2009,2009,190.00,,"Computers, Parts and Peripherals",Applied Micro Circuits (David Rickey),Information Technology,Computer Hardware
SCI Solutions,ASI SOLUTIONS INC,64631,ASIS,92.3076923076923,01-Apr-2020,2020,190.00,,Enterprise Systems (Healthcare),R1 RCM (Joseph Flanagan),Healthcare,Healthcare Technology Systems
Spectro Scientific,START SCIENTIFIC INC,6683,STSC,82.35294117647058,27-Nov-2018,2018,190.00,,Electronic Equipment and Instruments,AMETEK (NYS: AME) (David Zapico),Information Technology,Computer Hardware
United Copper Industries,UNITED STATES COPPER INDEX,195555,CPER,84.0,20-Sep-2016,2016,190.00,,Electrical Equipment,Southwire (Richard Stinson),Business Products and Services (B2B),Commercial Products
Invuity,INVUITY INC,23704,IVTY,100.0,23-Oct-2018,2018,189.60,,Surgical Devices,Stryker (NYS: SYK) (Spencer Stiles),Healthcare,Healthcare Devices and Supplies
TG Natural Resources,NATURAL RESOURCES USA CORP,13922,NTRC,87.8048780487805,17-Aug-2020,2020,188.38,,Other Financial Services,Tokyo Gas (TKS: 9531),,
